Nom 1|Nom 2|Nom latin|Nom anglais|Ordre:famille|Taille|Catégorie|Catégorie2|Bec forme|Bec couleur|bec couleur 2|Pattes|pattes couleur 2|Signe distinctif|Couleur dominante|Tache de couleur|Commentaires|Habitat et comportement Répartition géographique|Habitat1|Habitat2|Scientifique2|FIN
Chardonneret élégant||Carduelis carduelis|European Goldfinch|PASSERIFORMES: Fringillidae|12|Passereaux||épais et court||||||brun|rouge/orange|Dos brun, bout des ailes et queue noirs, barres jaunes sur les ailes. Front et bavette rouge, tour de l'oeil noir, calotte noire séparée de la zone rouge par une bande blanche. Bec épais rosâtre. Ventre pâle. Chez la femelle, la tête est brune sans tâches de couleur.||Villes, villages, jardins|Champs et bocages||FIN
Chevalier aboyeur||Tringa nebularia|Common Greenshank|CHARADRIIFORMES: Scolopacidae|31|Limicoles||droit et long|noir||gris|||gris||Dos gris-brun, ventre blanc, long bec fin et noir.||Bords de rivières, zones humides|Forêts et landes||FIN
Chevalier arlequin||Tringa erythropus|Spotted Redshank|CHARADRIIFORMES: Scolopacidae|30|Limicoles||droit et long|noir|rouge/orange|rouge/orange|||noir||Entièrement brun-noir l'été, dos à écailles, pattes noirâtres. Dos gris et ventre blanc l'hiver, avec des pattes orange. Long bec fin, noir dessus et à base orange dessous.||Bords de rivières, zones humides|Forêts et landes||FIN
Chevalier cul-blanc||Tringa ochropus|Green Sandpiper|CHARADRIIFORMES: Scolopacidae|23|Limicoles||droit et long|gris||gris|||brun||Dos, tête, cou et gorge gris, ventre blanc, sourcil blanc entre l'oeil et le bec. Le dos est finement moucheté de blanc. La queue est blanche avec des barres noires. Long bec fin grisâtre, pattes de même.||Bords de rivières, zones humides|||FIN
Chevalier gambette||Tringa totanus|Common Redshank|CHARADRIIFORMES: Scolopacidae|28|Limicoles||droit et long|rouge/orange|noir|rouge/orange|||brun||Dos et tête brune, gorge plus pâle densément mouchetée de brun. Pattes oranges, long bec fin, orange à bout noirâtre.||Bords de rivières, zones humides|Littoral||FIN
Chevalier guignette||Actitis hypoleucos|Common Sandpiper|CHARADRIIFORMES: Scolopacidae|20|Limicoles||droit et long||||||brun||Dos, tête, cou et gorge brun-gris, long bec fin et noir, pattes verdâtres, ventre blanc. En vol, bande blanche sur les ailes.||Bords de rivières, zones humides|Littoral||FIN
Chevalier stagnatile||Tringa stagnatilis|Marsh Sandpiper|CHARADRIIFORMES: Scolopacidae|23|Limicoles||droit et long|noir||noir|||gris||Dos gris noirâtre l'été, plus pâle l'hiver, ventre blanc, long bec fin et noir, très effilé, pattes noires.||Bords de rivières, zones humides|||FIN
Chevalier sylvain||Tringa glareola|Wood Sandpiper|CHARADRIIFORMES: Scolopacidae|20|Limicoles||droit et long|jaune|noir||||brun||Dos brun moucheté de blanc, cou et poitrine blanchâtre striés de brun, ventre blanc, sourcil, bec noirâtre, pattes jaunâtres.||Bords de rivières, zones humides|||FIN
Chevêche d'Athéna|Chouette chevêche|Athene noctua|Little Owl|STRIGIFORMES: Strigidae|22|Chouettes, hiboux||crochu||||||brun||Corps brun moucheté de blanc, avec le ventre plus pâle que le dos. Tête plate, disques faciaux bordés de blanc, bec crochu jaune, œil jaune.||Champs et bocages|||FIN
Chevêchette d'Europe|Chouette chevêchette|Glaucidium passerinum|Eurasian Pygmy-Owl|STRIGIFORMES: Strigidae|17|Chouettes, hiboux||crochu|||||moucheté|brun||Dos brun, tête plate brune, ventre blanc strié de brun. Sourcils blancs, disques faciaux peu prononcés, marqués de cercles concentriques incomplets, bec crochu jaune.|Nord de l'Europe ou zones montagneuses.|Forêts et landes|||FIN
Chocard à bec jaune||Pyrrhocorax graculus|Yellow-billed Chough|PASSERIFORMES: Corvidae|38|Corvidés||autres becs droits|jaune||rouge/orange|||noir||Entièrement noir, à l'exception du bec jaune et des pattes orange. Souvent en grandes bandes. Oiseau de montagne.||Montagnes et roches|||FIN
Choucas des tours||Coloeus monedula|Eurasian Jackdaw|PASSERIFORMES: Corvidae|33|Corvidés||autres becs droits|noir||noir|||noir||Corps gris noir, particulièrement sombre sur le dessus et au bout des ailes. Nuque gris pâle, front noir. Bec épais noir, pattes noires.||Villes, villages, jardins|Champs et bocages|Corvus monedula|FIN
Chouette de l'Oural||Strix uralensis|Ural Owl|STRIGIFORMES: Strigidae|61|Chouettes, hiboux||crochu|jaune|||||brun||Dos brun très moucheté de blanc, formant une sorte de damier sur les ailes. Ventre blanc strié de brun. Disques faciaux blancs prononcés et ronds, bordés de brun, très prononcés. Yeux noirs, bec crochu jaune. Queue barrée de bandes sombres.||Forêts et landes|||FIN
Chouette de Tengmalm||Aegolius funereus|Boreal Owl|STRIGIFORMES: Strigidae|25|Chouettes, hiboux||crochu|jaune|||||brun||Dos brun moucheté de blanc, ventre blanc à taches brunes, tête brun sombre, finement mouchetée de blanc, avec un front en V, disques faciaux blancs bordés de brun sombre, oeil jaune cerclé de noir, bec crochu jaune.||Forêts et landes|||FIN
Chouette épervière||Surnia ulula|Northern Hawk Owl|STRIGIFORMES: Strigidae|38|Chouettes, hiboux||crochu|jaune|||||brun||Dos brun à taches blanhces, ventre blanc couvert de stries brunes horizontales, sauf au niveau du cou. Tête brune finement mouchetée de blanc, formant un V bordé de sourcils blancs. Disques faciaux gris bordés de brun noir. Œil jaune, bec jaune.||Forêts et landes|||FIN
Chouette hulotte||Strix aluco|Tawny Owl|STRIGIFORMES: Strigidae|39|Chouettes, hiboux||crochu|jaune||blanc|||brun||Corps brun ou gris moucheté de blanc et brun sombre, avec de fines stries verticales noires sur le ventre. Disques faciaux prononcés bordés de brun roux ou grisâtre, séparés par une barre brune, et plus pâles entre les yeux et le bec. Oeil noir, bec jaune.||Forêts et landes|Villes, villages, jardins||FIN
Chouette lapone||Strix nebulosa|Great Gray Owl|STRIGIFORMES: Strigidae|66|Chouettes, hiboux||crochu||||||gris||Corps brun gris mêlé de blanc. Disques faciaux très prononcés et ronds marqués de cercles concentriques. Oeil jaune cerclé de noir, bec jaune.|Nord de l'Europe.|Forêts et landes|||FIN
Cigogne blanche||Ciconia ciconia|White Stork|CICONIIFORMES: Ciconiidae|102|Grands échassiers||droit et long|rouge/orange||rouge/orange|||blanc|noir|Entièrement blanche, à l'exception du bout des ailes noir. Long bec orange, longues pattes orange.||Villes, villages, jardins|Champs et bocages||FIN
Cigogne noire||Ciconia nigra|Black Stork|CICONIIFORMES: Ciconiidae|90|Grands échassiers||droit et long|rouge/orange||rouge/orange|||noir|blanc|Tête, cou, gorge et dos noirs, ventre blanc, long bec orange et noirâtre, longues pattes orange, tour de l'oeil orange également.||Bords de rivières, zones humides|||FIN
Cincle plongeur|Merle d'eau|Cinclus cinclus|White-throated Dipper|PASSERIFORMES: Cinclidae|18|Passereaux||fin et court|noir|||||gris|blanc|Dos gris, tête et ventre bruns, gorge blanche. Fin bec noir, pattes roses.||Bords de rivières, zones humides|||FIN
Circaète Jean-le-Blanc||Circaetus gallicus|Short-toed Eagle|ACCIPITRIFORMES: Accipitridae|66|Rapaces||crochu|noir|||||brun|blanc|Dos brun, dessous des ailes et corps blancs mouchetés de brun, queue rayée. La tête est un peu plus sombre. Bec crochu gris noir.||Montagnes et roches|||FIN
Cisticole des joncs||Cisticola juncidis|Zitting Cisticola|PASSERIFORMES: Cisticolidae|10|Passereaux||fin et court||||||brun||Dos brun avec des plumes noires, ventre pâle, croupion roux (discret). Bord de la queue blanc. Petit bec fin et noirâtre, pattes roses. Tête brune marquée de sourcils crème et de barres plus sombres sur le dessus.||Bords de rivières, zones humides|||FIN
Cochevis huppé||Galerida cristata|Crested Lark|PASSERIFORMES: Alaudidae|17|Passereaux||fin et court|||||huppe|brun||Dos et tête bruns, bavette blanche sous le bec, gorge mouchetée de brun, ventre blanc. Petite huppe sur la tête. Petit bec fin brunâtre, pattes de même.||Villes, villages, jardins|Champs et bocages||FIN
Combattant varié||Philomachus pugnax|Ruff|CHARADRIIFORMES: Scolopacidae|29|Limicoles||autres becs droits|noir||rouge/orange|||brun||En hiver, tête brune, gorge et ventre pâle, dos brun noir aux plumes soulignées de crème. Bec fin, long et noir, pattes verdâtres. En tenue nuptiale, apparition d'une collerette de couleur variable chez le mâle et d'une huppe sur la tête. Le bec prend une couleur jaune à rougeâtre. ||Bords de rivières, zones humides|Littoral||FIN
Corbeau freux||Corvus frugilegus|Rook|PASSERIFORMES: Corvidae|45|Corvidés||autres becs droits|noir||noir|||noir||Tout noir, à l'exception d'une zone de peau nue et blanchâtre à la base du bec. Bec épais noir, pattes noires. Forme des colonies parfois importantes. ||Champs et bocages|||FIN
Cormoran huppé||Phalacrocorax aristotelis|European Shag|SULIFORMES: Phalacrocoracidae|76|Fous, cormorans, pélicans||mouette|||noir||huppe|noir||Tout noir (avec des reflets verts), pattes noires, bec noir avec une partie jaune à la base. Pas de tache blanche près du bec, contrairement au grand cormoran, qui est aussi plus grand. Huppe en été uniquement. Il niche uniquement en bord de mer.||Littoral|||FIN
Cormoran pygmée||Phalacrocorax pygmaeus|Pygmy Cormorant|SULIFORMES: Phalacrocoracidae|46|Fous, cormorans, pélicans||mouette|||noir|||noir||Corps noir, tête brune, pattes noires, bec gris noir.||Bords de rivières, zones humides||Phalacrocorax pygmeus|FIN
Corneille mantelée||Corvus cornix|Hooded Crow|PASSERIFORMES: Corvidae|46|Corvidés||autres becs droits|noir||noir|||noir||Tête, gorge, bout des ailes et queue noirs, nuque, dos et ventre gris-brun clair. Epais bec noir.|Corse, Europe du Nord et de l'Est.|Villes, villages, jardins|Champs et bocages||FIN
Corneille noire||Corvus corone|Carrion Crow|PASSERIFORMES: Corvidae|47|Corvidés||autres becs droits|noir||noir|||noir||Entièrement noire, du bec (épais) aux pattes.|Sédentaire.|Villes, villages, jardins|Champs et bocages||FIN
Coucou geai||Clamator glandarius|Great Spotted Cuckoo|CUCULIFORMES: Cuculidae|37|Autres||autres becs droits|noir||noir||queue longue|noir||Dos brun noir, bout des ailes tacheté de blanc. Calotte grise avec une petite huppe. Gorge et ventre blancs. Longue queue à bout blanc. Bec noir assez épais et légèrement crochu.||Champs et bocages|Forêts et landes||FIN
Coucou gris||Cuculus canorus|Common Cuckoo|CUCULIFORMES: Cuculidae|33|Autres||autres becs droits|noir||||queue longue|gris||Dos et tête gris, ventre blanc strié horizontalement de noir. Longue queue mouchetée de blanc. Cercle oculaire jaune. Bec épais et noirâtre. Certaines femelles ont un plumage brun.||Champs et bocages|Forêts et landes||FIN
Courlis cendré||Numenius arquata|Eurasian Curlew|CHARADRIIFORMES: Scolopacidae|55|Limicoles||courbé|noir||gris|||brun||Dos brun moucheté de blanc, ventre blanc densément moucheté de brun, pattes grises, long bec fin et courbé, noir avec une base rougeâtre.||Bords de rivières, zones humides|Littoral||FIN
Courlis corlieu||Numenius phaeopus|Whimbrel|CHARADRIIFORMES: Scolopacidae|41|Limicoles||courbé|noir|rouge/orange|noir|||brun||Dos brun moucheté de blanc, ventre blanc densément moucheté de brun, pattes grises, long bec fin et courbé, noir avec une base rougeâtre. Il est plus petit que le courlis cendré et s'en distingue par des sourcils blancs, et une calotte sombre marquée d'une bande crème. Le bec est également plus rectiligne à la base, ne s'incurvant que vers le bout.||Toundra|Littoral||FIN
Courvite isabelle||Cursorius cursor|Cream-colored Courser|CHARADRIIFORMES: Glareolidae|22|Limicoles||courbé|noir|||||brun|noir|Dos brun, ventre blanc. Tête brune, à l'exception du tache grise à l'arrière du crane. Fin trait noir sur l'oeil, surmonté d'un sourcil blanc, qui s'étendent jusqu'à la nuque. Longues pattes grisâtres, bec noir courbé. Dessous des ailes noir.||Champs et bocages|||FIN
Crabier chevelu|Héron crabier|Ardeola ralloides|Squacco Heron|PELECANIFORMES: Ardeidae|44|Grands échassiers||droit et long||||||brun||Dos brun roux, tête couverte de stries noires, qui s'étendent parfois au cou (long lorsqu'il est déployé), gorge roussâtre . Ventre blanc coupé par une ligne verticale brune. Longues aigrettes blanches et noires derrière la tête. Ailes blanches (en vol). Bec long épais et noirâtre, qui vire au bleu en période nuptiale. Pattes verdâtres à orangé.||Bords de rivières, zones humides|||FIN
Crave à bec rouge||Pyrrhocorax pyrrhocorax|Red-billed Chough|PASSERIFORMES: Corvidae|39|Corvidés||courbé|rouge/orange||rouge/orange|||noir||Tout noir, à l'exception du bec et des pattes rouges. Le bec est courbé. Le jeune a le bec jaune.|Sédentaire. Vit en haute montagne ou sur les côtes rocheuses.|Montagnes et roches|Littoral||FIN
Cygne chanteur||Cygnus cygnus|Whooper Swan|ANSERIFORMES: Anatidae|152|Cygnes, oies, canards||canard|jaune|noir|noir|||blanc||Blanc, bec jaune à la base et noir au bout.||Bords de rivières, zones humides|||FIN
Cygne siffleur|Cygne de Bewick|Cygnus columbianus|Tundra Swan|ANSERIFORMES: Anatidae|122|Cygnes, oies, canards||canard|jaune|noir|noir|||blanc||Blanc, bec jaune à la base et noir au bout. La partie jaune est plus réduite que chez le cygne chanteur.||Bords de rivières, zones humides|||FIN
Cygne tuberculé|Cygne muet|Cygnus olor|Mute Swan|ANSERIFORMES: Anatidae|152|Cygnes, oies, canards||canard|rouge/orange|noir|noir|||blanc||Blanc. Renflement noir au-dessus du bec orange.||Bords de rivières, zones humides|Littoral||FIN
Durbec des sapins||Pinicola enucleator|Pine Grosbeak|PASSERIFORMES: Fringillidae|18|Passereaux||crochu|noir||noir|||rouge/orange||Ailes et queue noires. La femelle est jaune.|Présent uniquement en Scandinavie. |Forêts et landes|||FIN
Échasse blanche||Himantopus himantopus|Black-winged Stilt|CHARADRIIFORMES: Recurvirostridae|38|Limicoles||droit et long|noir||rouge/orange|||blanc|noir|Ailes noires. Marque noire sur la nuque. Calotte noire plus ou moins marquée (parfois absente)||Bords de rivières, zones humides|Littoral||FIN
Effraie des clochers|Chouette effraie|Tyto alba|Barn Owl|STRIGIFORMES: Tytonidae|34|Chouettes, hiboux||crochu|||blanc|||brun|blanc|Face, cou et ventre blancs. Dos brun mêlé de gris, moucheté de blanc et de noir. Disque facial blanc, très marqué, bordé de brun. Quelques plumes brunes autour des yeux noirs. Bec blanchâtre.||Villes, villages, jardins|Champs et bocages||FIN
Eider à duvet||Somateria mollissima|Common Eider|ANSERIFORMES: Anatidae|58|Cygnes, oies, canards||canard|jaune|||||blanc||Corps blanc. Flancs et croupion noirs. Tête blanche avec une calotte noire et une nuque verdâtre. Front dans l'alignement du bec jaunâtre. La femelle est entièrement brune. Canard marin.||Littoral|||FIN
Eider à tête grise||Somateria spectabilis|King Eider|ANSERIFORMES: Anatidae|56|Cygnes, oies, canards||canard|rouge/orange|||||noir||Tête grise aplatie. Joues verdâtres. Gorge brune. Dos, flancs et croupion noirs avec quelques marques blanches. Bec orange surmonté d'une excroissance jaune et noire. La femelle est entièrement brune.||Littoral|||FIN
Eider de Steller||Polysticta stelleri|Steller's Eider|ANSERIFORMES: Anatidae|46|Cygnes, oies, canards||canard|noir|||||noir||Tête blanche avec une marque verdâtre sur la nuque et au-dessus du bec. Collier noir. Flancs brunâtres marqués d'un point noir. Dos noir rayé de blanc. Croupion noir.||Littoral|Bords de rivières, zones humides||FIN
Élanion blanc||Elanus caeruleus|Black-shouldered Kite|ACCIPITRIFORMES: Accipitridae|33|Rapaces||crochu|noir||jaune|||blanc|noir|Dos gris avec une tache noire sur l'épaule. Ailes grises à bout noir. Tête blanche avec des yeux rouges. Petit bec crochu et noir. Ventre blanc.||Champs et bocages|||FIN
Engoulevent à collier roux||Caprimulgus ruficollis|Red-necked Nightjar|CAPRIMULGIFORMES: Caprimulgidae|26|Autres||fin et court|noir||||queue longue|brun||Plumage couleur écorce d'arbre, brun sombre. Léger collier roux plus ou moins visible. Petit bec noir.||Forêts et landes|||FIN
Engoulevent d'Europe||Caprimulgus europaeus|European Nightjar|CAPRIMULGIFORMES: Caprimulgidae|26|Autres||fin et court|noir||||queue longue|brun||Plumage couleur écorce d'arbre, brun sombre. Léger collier roux plus ou moins visible. Petit bec noir.||Forêts et landes|||FIN
Épervier à pieds courts||Accipiter brevipes|Levant Sparrowhawk|ACCIPITRIFORMES: Accipitridae|35|Rapaces||crochu|noir|jaune|jaune|||gris|blanc|Chez le mâle, dos gris. Ventre blanc barré horizontalement de brun. La femelle a la dos un peu plus brun que le mâle et son ventre est plus moucheté. Bec crochu et noir, à base jaune. Pattes jaunes.||Forêts et landes|||FIN
Épervier d'Europe||Accipiter nisus|Eurasian Sparrowhawk|ACCIPITRIFORMES: Accipitridae|34|Rapaces||crochu|noir||jaune|||gris|rouge/orange|Dos et tête gris ardoise. Ventre blanc barré de roux. Plumes rousses sous le bec et sur les flancs. Bec crochu noir à base jaune. Oeil orange, pattes jaunes. La femelle est plus grosse que le mâle.||Champs et bocages|Forêts et landes||FIN
Érismature à tête blanche||Oxyura leucocephala|White-headed Duck|ANSERIFORMES: Anatidae|46|Cygnes, oies, canards||canard|bleu|||||rouge/orange|blanc|Tête blanche avec une tache noire sur le dessus. Cou noir, dos brun, queue noire. Bec enflé à la base, bleu en plumage nuptial.||Bords de rivières, zones humides|||FIN
Érismature rousse||Oxyura jamaicensis|Ruddy Duck|ANSERIFORMES: Anatidae|41|Cygnes, oies, canards||canard|bleu|||||rouge/orange|noir|Tête noire. Joues blanche. Cou et dos roux. Queue noire, bec enflé à la base, bleu en plumage nuptial.||Bords de rivières, zones humides|||FIN
Étourneau roselin||Pastor roseus|Rosy Starling|PASSERIFORMES: Sturnidae|22|Passereaux||autres becs droits||||||noir||Dos et ventre brun rosé. Tête, ailes et queue noires. Bec et pattes roses.||Champs et bocages|Milieu sec ou désertique|Sturnus roseus|FIN
Étourneau sansonnet||Sturnus vulgaris|European Starling|PASSERIFORMES: Sturnidae|22|Passereaux||autres becs droits|jaune||rose||moucheté|noir||En plumage nuptial, corps noir avec des reflets violets et bleu vert. Dos et bas ventre moucheté de brun. Bec jaune. En plumage hivernal, globalement plus brun. Ventre et tête densément mouchetés de blanc. Reflets moins visibles, bec noir. Dans les deux cas, les pattes sont rose.||Villes, villages, jardins|||FIN
Étourneau unicolore||Sturnus unicolor|Spotless Starling|PASSERIFORMES: Sturnidae|21|Passereaux||autres becs droits|jaune|||||noir||Intégralement noir. Bec jaune, parfois noirâtre.|Présent en Corse et en Espagne.|Villes, villages, jardins|||FIN
Faisan de Colchide||Phasianus colchicus|Ring-necked Pheasant|GALLIFORMES: Phasianidae|82|Gallinacés||crochu|jaune||noir||queue longue|rouge/orange|vert|Tête bleu vert, barbe rouge autour de l'oeil. Collier blanc. Corps brun avec des taches couleur crème sur le dos et noires sur le ventre. Longue queue. Bec blanchâtre.||Champs et bocages|||FIN
Faisan de Lady Amherst||Chrysolophus amherstiae|Lady Amherst's Pheasant|GALLIFORMES: Phasianidae|90|Gallinacés||crochu|jaune||noir||queue longue|||Gorge verte. Ventre blanc. Ailes partiellement bleu-vert. Tache rouge sur la tête. Croupion jaune et rouge. Plumage à écailles blanc/vert/bleu. Queue très longue. Bec grisâtre. Espèce introduite en Grande-Bretagne.||Forêts et landes|||FIN
Faisan doré||Chrysolophus pictus|Golden Pheasant|GALLIFORMES: Phasianidae|90|Gallinacés||crochu|jaune||jaune||queue longue|rouge/orange|jaune|Calotte et croupion jaune. Ventre rouge. Plumes vertes sur le dos. Plumes rouges et bleues sur les flancs. Nuque orange strié de noir. Très longue queue noire et brune. Espèce introduite en Grande-Bretagne.||Forêts et landes|||FIN
Faucon crécerelle||Falco tinnunculus|Common Kestrel|FALCONIFORMES: Falconidae|34|Rapaces||crochu|noir||jaune||moucheté|brun||Dos roux tacheté de noir. Ventre clair moucheté. Queue grise finie par un bandeau noir. Tête grise. Bec crochu noir à base jaune. Pattes jaunes.|C'est le seul petit rapace à faire régulièrement du vol stationnaire. Commun dans toute l'Europe. |Champs et bocages|Villes, villages, jardins||FIN
Faucon crécerellette||Falco naumanni|Lesser Kestrel|FALCONIFORMES: Falconidae|30|Rapaces||crochu|noir||jaune|||brun|gris|Dos roux. Ailes grises à bout noir. Ventre roux plus pâle. Tête et queue grises. Bout de la queue noir. Bec crochu noir à base jaune. Pattes jaunes.|Présent dans le bassin méditerranéen.|Champs et bocages|||FIN
Faucon d'Éléonore||Falco eleonorae|Eleonora's Falcon|FALCONIFORMES: Falconidae|38|Rapaces||crochu|noir|jaune|jaune|||noir||Adultes foncés sont entièrement noirs. Les adultes clairs ont le dos brun/noir, le dessous roux tacheté de noir, les joues blanches. Bec crochu noir et pattes jaunes.|Vit dans des îlots rocheux de la Méditerranée.|Littoral|||FIN
Faucon émerillon||Falco columbarius|Merlin|FALCONIFORMES: Falconidae|30|Rapaces||crochu|noir|jaune|jaune|||gris||Chez le mâle, dos gris, dessous et nuque roux tachetés de noir. Chez la femelle, dos brun. Dessous blanc moucheté. Dans les deux cas, bec crochu noir et pattes jaunes. La queue de la femelle est barrée de blanc.||Champs et bocages|||FIN
Faucon gerfaut||Falco rusticolus|Gyrfalcon|FALCONIFORMES: Falconidae|54|Rapaces||crochu|noir|jaune|jaune|||||Dos gris aux plumes bordées de blanc. Dessous blanc moucheté. Bec crochu noirâtre. Pattes blanches. La coloration grise du dos peut être peu marquée.|Europe du Nord.|Toundra|||FIN
Faucon hobereau||Falco subbuteo|Eurasian Hobby|FALCONIFORMES: Falconidae|34|Rapaces||crochu|noir|jaune|jaune||moucheté|noir|rouge/orange|Tache blanche au niveau du cou. Roux au niveau des pattes et sous la queue chez le mâle. Ventre moucheté. Dos gris. Bec crochu noir à base jaune. Pattes jaunes. Tour des yeux et moustache noirs.||Champs et bocages|Bords de rivières, zones humides||FIN
Faucon kobez||Falco vespertinus|Red-footed Falcon|FALCONIFORMES: Falconidae|30|Rapaces||crochu|rouge/orange|noir|rouge/orange|||gris|rouge/orange|Mâle gris sombre exceptée une partie rousse autour des pattes. Ventre de la femelle roux pâle. Chez la femelle, le dessous de la queue est rayé noir et blanc. Les pattes sont orange, et le bec orange avec le bout noir.||Champs et bocages|||FIN
Faucon lanier||Falco biarmicus|Lanner Falcon|FALCONIFORMES: Falconidae|42|Rapaces||crochu|noir|jaune|jaune||moucheté|brun|rouge/orange|Calotte rousse. Joues blanches. Ventre moucheté. Dos gris brun. Moustaches noires. Dessous de la queue rayé noir et blanc. Pattes jaunes. Bec crochu noir à base jaune.||Montagnes et roches|||FIN
Faucon pèlerin||Falco peregrinus|Peregrine Falcon|FALCONIFORMES: Falconidae|43|Rapaces||crochu|noir|jaune|jaune|||gris||Dos gris. Ventre blanc strié de noir. Larges moustaches noires. Pattes jaunes. Bec noir à base jaune.||Champs et bocages|Villes, villages, jardins||FIN
Faucon sacre||Falco cherrug|Saker Falcon|FALCONIFORMES: Falconidae|50|Rapaces||crochu|noir||jaune||moucheté|brun||Dos brun. Ventre blanc moucheté de brun. Moustaches noires. Bec noir à base jaune. Pattes jaunes.||Montagnes et roches|||FIN
Fauvette à lunettes||Sylvia conspicillata|Spectacled Warbler|PASSERIFORMES: Sylviidae|14|Passereaux||fin et court||||||brun||Tête grise, menton blanc. Ailes légèrement rousses et poitrine rosée. Bec fin noirâtre. Pattes brunes.||Milieu méditerranéen|||FIN
Fauvette à tête noire||Sylvia atricapilla|Blackcap|PASSERIFORMES: Sylviidae|15|Passereaux||fin et court||||||gris|noir|Calotte noire pour le mâle, rousse pour la femelle. Tête et cou gris. Dos gris brun. Pattes et bec noirs.||Forêts et landes|Villes, villages, jardins||FIN
Fauvette babillarde||Sylvia curruca|Lesser Whitethroat|PASSERIFORMES: Sylviidae|13|Passereaux||fin et court||||||brun||Gorge et ventre blanc et tête et gris. Pattes et bec noirs.||Champs et bocages|||FIN
Fauvette de Chypre||Sylvia melanothorax|Cyprus Warbler|PASSERIFORMES: Sylviidae|13|Passereaux||fin et court||||||gris||Tête noire. Poitrine tachetée. Menton blanc. Dos gris. Bec noirâtre.|Essentiellement à Chypre.|Milieu méditerranéen|||FIN
Fauvette de Rüppell||Sylvia rueppelli|Rueppell's Warbler|PASSERIFORMES: Sylviidae|14|Passereaux||fin et court||||||gris||Calotte et gorge noires, joue et nuque grises, moustache blanche, oeil orangé. Dos gris avec quelques plumes noires sur les ailes. Pattes oranges, bec noirâtre. Les zones noires chez le mâle sont mouchetées chez la femelle.||Milieu méditerranéen|||FIN
Fauvette des jardins||Sylvia borin|Garden Warbler|PASSERIFORMES: Sylviidae|14|Passereaux||fin et court||||||brun||Tête et dos bruns. Dessous plus pâle. Sourcil pâle peu marqué.||Champs et bocages|Forêts et landes||FIN
Fauvette épervière||Sylvia nisoria|Barred Warbler|PASSERIFORMES: Sylviidae|15|Passereaux||fin et court||||||brun||Tête noire. Gorge et ventre rayés. Dos gris brun.||Champs et bocages|||FIN
Fauvette grisette||Sylvia communis|Greater Whitethroat|PASSERIFORMES: Sylviidae|14|Passereaux||fin et court||||||brun||Dos gris brun, gorge blanche, tête grise et quelques plumes bordées de roux. Pattes orangées. Bec noir dessus et orangé dessous.||Champs et bocages|||FIN
Fauvette mélanocéphale||Sylvia melanocephala|Sardinian Warbler|PASSERIFORMES: Sylviidae|14|Passereaux||fin et court|||rouge/orange|||gris|noir|Dos gris. Ventre gris pâle. Calotte et joues noires, oeil cerclé de rouge, gorge blanche. Petit bec fin noir. Pattes orangées.||Milieu méditerranéen|||FIN
Fauvette orphée||Sylvia hortensis|Western Orphean Warbler|PASSERIFORMES: Sylviidae|15|Passereaux||fin et court||||||brun||Calotte et joues noires. Dos gris. Gorge et ventre blancs. Bec fin, noir.||Champs et bocages|Forêts et landes||FIN
Fauvette passerinette||Sylvia cantillans|Subalpine Warbler|PASSERIFORMES: Sylviidae|12|Passereaux||fin et court||||||gris||Oeil cerclé de rouge, tête et dos gris, gorge rousse, moustache blanche, ventre pâle. Bec noirâtre. Pattes orangées.||Milieu méditerranéen|||FIN
Fauvette pitchou||Sylvia undata|Dartford Warbler|PASSERIFORMES: Sylviidae|12|Passereaux||fin et court||||||gris||Oeil cerclé de rouge. Ventre roux chez le mâle. Tête grise, dos gris-brun. Pas de moustache blanche. Bec noirâtre. Pattes orangées.||Milieu méditerranéen|Forêts et landes||FIN
Fauvette sarde||Sylvia sarda|Marmora's Warbler|PASSERIFORMES: Sylviidae|12|Passereaux||fin et court||||||gris||Entièrement grise. Oeil rouge. Bec noirâtre. Pattes orangées.||Milieu méditerranéen|||FIN
Flamant rose||Phoenicopterus roseus|Greater Flamingo|PHOENICOPTERIFORMES: Phoenicopteridae|137|Grands échassiers||autre|rose|noir|rose|||rose||Corps rose pâle. Ailes rose vif et noires. Pattes rose. Bec rose à bout noir.||Bords de rivières, zones humides|||FIN
Fou de Bassan||Morus bassanus|Northern Gannet|SULIFORMES: Sulidae|90|Fous, cormorans, pélicans||autres becs droits|||noir|||blanc|rouge/orange|Entièrement blanc à l'exception du bout des ailes noir et de la tête légèrement rousse. Yeux bleus. Juvéniles mouchetés de noir. Bec épais et gris, pattes noires.||Littoral|||FIN
Foulque à crête||Fulica cristata|Red-knobbed Coot|GRUIFORMES: Rallidae|41|Râles, marouettes, poules d'eau||autres becs droits|blanc|||||noir|blanc|Entièrement noir avec une tache blanche sur le front. Petite crête rouge. Bec blanc. Oeil rouge.||Bords de rivières, zones humides|||FIN
Foulque macroule||Fulica atra|Eurasian Coot|GRUIFORMES: Rallidae|38|Râles, marouettes, poules d'eau||autres becs droits|blanc|||||noir|blanc|Entièrement noir avec une tache blanche sur le front. Bec blanc. Oeil rouge.||Bords de rivières, zones humides|||FIN
Fuligule milouin||Aythya ferina|Common Pochard|ANSERIFORMES: Anatidae|46|Cygnes, oies, canards||canard|noir|||||gris|brun|Dos et flancs gris pâle. Tête brune. Cou et croupion noirs. Femelle entièrement brune. Bec noir avec une tache grise. Oeil rouge.||Bords de rivières, zones humides|||FIN
